n,a,e
4628.0,-0.0435148047322685,-0.0880553060854518
4629.0,0.0,0.0
4630.0,0.0,0.0
4631.0,-0.2589764764666606,0.0966355909271977
4632.0,-0.2589764764666606,0.0966355909271977
4633.0,-0.2589764764666606,0.0966355909271977
4634.0,-0.0073540374032583,0.097125047908591
4635.0,-0.0073540374032583,0.097125047908591
4636.0,-0.0073540374032583,0.097125047908591
4637.0,-0.0073540374032583,0.097125047908591
4638.0,0.0,0.0
4639.0,-0.0029483220939927,0.0144159351276052
4640.0,0.0,0.0
4641.0,0.0,0.0
4642.0,0.0675610279041939,-0.0529436315179646
4643.0,0.0238355093681319,-0.0663291058431673
4644.0,0.0,0.0
4645.0,0.0,0.0
4646.0,-0.1781587243645135,-0.081164479847153
4647.0,0.0,0.0
4648.0,-0.0017926505168468,-0.0259803151824025
4649.0,-0.0017926505168468,-0.0259803151824025
4650.0,-0.1505500329249051,-0.1731078214178711
4651.0,-0.1505500329249051,-0.1731078214178711
4652.0,0.0,0.0
4653.0,-0.1664581094799256,-0.0075510832552784
4654.0,-0.0017926505168468,-0.0259803151824025
4655.0,0.0,0.0
4656.0,-0.0435148047322685,-0.0880553060854518
4657.0,-0.0435148047322685,-0.0880553060854518
4658.0,-0.0029483220939927,0.0144159351276052
4659.0,0.0,0.0
4660.0,-0.0061082415055545,-0.0406756361098324
4661.0,0.0,0.0
4662.0,0.0,0.0
4663.0,0.0,0.0
4664.0,0.0,0.0
4665.0,0.0,0.0
4666.0,0.0675610279041939,-0.0529436315179646
4667.0,0.0901846412354338,0.0215577489957726
4668.0,0.0901846412354338,0.0215577489957726
4669.0,0.0238355093681319,-0.0663291058431673
4670.0,0.0901846412354338,0.0215577489957726
4671.0,0.0,0.0
4672.0,0.0,0.0
4673.0,-0.0435148047322685,-0.0880553060854518
4674.0,-0.079850231166203,-0.1501430951855668
4675.0,-0.079850231166203,-0.1501430951855668
4676.0,0.0608069843488696,-0.1236254174625143
4677.0,0.0517768403447783,-0.2489071466238283
4678.0,0.0,0.0
4679.0,0.0,0.0
4680.0,0.0,0.0
4681.0,0.0,0.0
4682.0,-0.0595356086330273,0.0527185153496634
4683.0,0.0,0.0
4684.0,-0.1456844001858937,-0.0105189903349155
4685.0,0.0,0.0
4686.0,0.0,0.0
4687.0,0.0,0.0
4688.0,0.0,0.0
4689.0,-0.1177749867840249,-0.0834734474928904
4690.0,-0.1177749867840249,-0.0834734474928904
4691.0,0.0,0.0
4692.0,-0.1177749867840249,-0.0834734474928904
4693.0,-0.1177749867840249,-0.0834734474928904
4694.0,0.0,0.0
4695.0,0.0,0.0
4696.0,0.0,0.0
4697.0,0.0,0.0
4698.0,-0.1177749867840249,-0.0834734474928904
4699.0,-0.1664581094799256,-0.0075510832552784
4700.0,0.0,0.0
4701.0,-0.0198063920122698,0.0823691753939655
4702.0,-0.062144701162715,0.0845115185398865
4703.0,-0.0435148047322685,-0.0880553060854518
4704.0,-0.1456844001858937,-0.0105189903349155
4705.0,0.0,0.0
4706.0,0.0,0.0
4707.0,-0.069049293945352,0.1606480627683923
4708.0,0.0,0.0
4709.0,-0.0435148047322685,-0.0880553060854518
4710.0,0.0,0.0
4711.0,0.0,0.0
4712.0,-0.0198063920122698,0.0823691753939655
4713.0,0.0,0.0
4714.0,0.0,0.0
4715.0,-0.079850231166203,-0.1501430951855668
4716.0,0.0,0.0
4717.0,0.0,0.0
4718.0,0.0,0.0
4719.0,0.0,0.0
4720.0,0.0,0.0
4721.0,0.0,0.0
4722.0,-0.2413082825439653,0.1947492236398904
4723.0,-0.2413082825439653,0.1947492236398904
4724.0,-0.2413082825439653,0.1947492236398904
4725.0,0.0,0.0
4726.0,-0.1664581094799256,-0.0075510832552784
4727.0,0.0,0.0
4728.0,0.0,0.0
4729.0,-0.1664581094799256,-0.0075510832552784
4730.0,0.0608069843488696,-0.1236254174625143
4731.0,0.0,0.0
4732.0,0.0,0.0
4733.0,-0.2286718387726634,-0.1346174848800894
4734.0,0.0,0.0
4735.0,-0.0827361391168015,0.1310252197069401
4736.0,-0.0029483220939927,0.0144159351276052
4737.0,-0.0456207733646692,0.1567082891532183
4738.0,0.0,0.0
4739.0,0.0,0.0
4740.0,0.0,0.0
4741.0,0.0,0.0
4742.0,-0.2298368042169296,0.0196102751099189
4743.0,0.0,0.0
4744.0,-0.0435148047322685,-0.0880553060854518
4745.0,-0.0061082415055545,-0.0406756361098324
4746.0,-0.0061082415055545,-0.0406756361098324
4747.0,0.0,0.0
4748.0,0.0,0.0
4749.0,0.0,0.0
4750.0,0.0,0.0
4751.0,0.0,0.0
4752.0,0.0,0.0
4753.0,0.0,0.0
4754.0,0.0,0.0
4755.0,-0.0073540374032583,0.097125047908591
4756.0,-0.0435148047322685,-0.0880553060854518
4757.0,-0.062144701162715,0.0845115185398865
4758.0,-0.062144701162715,0.0845115185398865
4759.0,-0.062144701162715,0.0845115185398865
4760.0,-0.062144701162715,0.0845115185398865
4761.0,0.0,0.0
4762.0,0.0,0.0
4763.0,0.0,0.0
4764.0,0.0,0.0
4765.0,0.0,0.0
4766.0,-0.0048349136061616,-0.2670499482655177
4767.0,-0.0048349136061616,-0.2670499482655177
4768.0,0.0675610279041939,-0.0529436315179646
4769.0,0.0,0.0
4770.0,0.0,0.0
4771.0,0.0,0.0
4772.0,0.0,0.0
4773.0,0.0,0.0
4774.0,0.0,0.0
4775.0,0.0,0.0
4776.0,0.0,0.0
4777.0,0.0,0.0
4778.0,0.0,0.0
4779.0,0.0,0.0
4780.0,0.0,0.0
4781.0,0.0,0.0
4782.0,0.0,0.0
4783.0,0.0901846412354338,0.0215577489957726
4784.0,0.0901846412354338,0.0215577489957726
4785.0,0.0,0.0
4786.0,0.0,0.0
4787.0,-0.0029483220939927,0.0144159351276052
4788.0,0.0675610279041939,-0.0529436315179646
4789.0,0.0,0.0
4790.0,0.0,0.0
4791.0,0.0,0.0
4792.0,0.0,0.0
4793.0,0.0,0.0
4794.0,0.0,0.0
4795.0,-0.062144701162715,0.0845115185398865
4796.0,0.0,0.0
4797.0,-0.0017926505168468,-0.0259803151824025
4798.0,0.0,0.0
4799.0,0.0,0.0
4800.0,-0.0061082415055545,-0.0406756361098324
4801.0,-0.0061082415055545,-0.0406756361098324
4802.0,0.099645938763833,-0.1530144965783584
4803.0,-0.1781587243645135,-0.081164479847153
4804.0,-0.1456844001858937,-0.0105189903349155
4805.0,0.0,0.0
4806.0,0.0,0.0
4807.0,-0.062144701162715,0.0845115185398865
4808.0,-0.062144701162715,0.0845115185398865
4809.0,-0.062144701162715,0.0845115185398865
4810.0,0.0,0.0
4811.0,0.0,0.0
4812.0,0.0,0.0
4813.0,-0.062144701162715,0.0845115185398865
4814.0,0.0,0.0
4815.0,0.0,0.0
4816.0,-0.0061082415055545,-0.0406756361098324
4817.0,0.0675610279041939,-0.0529436315179646
4818.0,0.0675610279041939,-0.0529436315179646
4819.0,0.0675610279041939,-0.0529436315179646
4820.0,0.0675610279041939,-0.0529436315179646
4821.0,0.0,0.0
4822.0,0.0,0.0
4823.0,-0.079850231166203,-0.1501430951855668
4824.0,-0.0239475048246253,-0.0077542713029738
4825.0,-0.0017926505168468,-0.0259803151824025
4826.0,-0.0073540374032583,0.097125047908591
4827.0,0.0,0.0
4828.0,0.0,0.0
4829.0,0.0,0.0
4830.0,0.0,0.0
4831.0,0.0,0.0
4832.0,0.0,0.0
4833.0,0.0,0.0
4834.0,0.0,0.0
4835.0,0.0,0.0
4836.0,0.0,0.0
4837.0,0.0,0.0
4838.0,-0.0456207733646692,0.1567082891532183
4839.0,0.0,0.0
4840.0,0.0,0.0
4841.0,-0.1781587243645135,-0.081164479847153
4842.0,-0.0029483220939927,0.0144159351276052
4843.0,-0.0017926505168468,-0.0259803151824025
4844.0,0.0,0.0
4845.0,-0.089929870040545,0.0520376895002524
4846.0,0.0,0.0
4847.0,0.0,0.0
4848.0,0.0,0.0
4849.0,0.0,0.0
4850.0,0.0,0.0
4851.0,-0.2589764764666606,0.0966355909271977
4852.0,0.0,0.0
4853.0,0.0,0.0
4854.0,0.0,0.0
4855.0,-0.0017926505168468,-0.0259803151824025
4856.0,-0.1505500329249051,-0.1731078214178711
4857.0,-0.1505500329249051,-0.1731078214178711
4858.0,0.0,0.0
4859.0,0.0,0.0
4860.0,0.0925311364723004,-0.0117555263125865
4861.0,0.0925311364723004,-0.0117555263125865
4862.0,0.0,0.0
4863.0,-0.0073540374032583,0.097125047908591
4864.0,0.0,0.0
4865.0,0.0,0.0
4866.0,0.0,0.0
4867.0,0.0,0.0
4868.0,0.0,0.0
4869.0,-0.1781587243645135,-0.081164479847153
4870.0,0.0,0.0
4871.0,0.0,0.0
4872.0,-0.089929870040545,0.0520376895002524
4873.0,0.0,0.0
4874.0,-0.2298368042169296,0.0196102751099189
4875.0,-0.0017926505168468,-0.0259803151824025
4876.0,-0.1781587243645135,-0.081164479847153
4877.0,-0.1781587243645135,-0.081164479847153
4878.0,0.0925311364723004,-0.0117555263125865
4879.0,-0.0029483220939927,0.0144159351276052
4880.0,0.0,0.0
4881.0,0.0675610279041939,-0.0529436315179646
4882.0,0.0,0.0
4883.0,0.0,0.0
4884.0,0.0,0.0
4885.0,0.0,0.0
4886.0,0.0,0.0
4887.0,0.0,0.0
4888.0,0.0,0.0
4889.0,0.0,0.0
4890.0,-0.069049293945352,0.1606480627683923
4891.0,0.0,0.0
4892.0,0.0,0.0
4893.0,0.0,0.0
4894.0,-0.062144701162715,0.0845115185398865
4895.0,-0.062144701162715,0.0845115185398865
4896.0,0.0,0.0
4897.0,-0.1177749867840249,-0.0834734474928904
4898.0,0.0,0.0
4899.0,0.0,0.0
4900.0,-0.1781587243645135,-0.081164479847153
4901.0,-0.069049293945352,0.1606480627683923
4902.0,0.0,0.0
4903.0,-0.0017926505168468,-0.0259803151824025
4904.0,-0.069049293945352,0.1606480627683923
4905.0,0.0,0.0
4906.0,0.0,0.0
4907.0,-0.0435148047322685,-0.0880553060854518
4908.0,-0.0435148047322685,-0.0880553060854518
4909.0,-0.0435148047322685,-0.0880553060854518
4910.0,-0.1781587243645135,-0.081164479847153
4911.0,0.0,0.0
4912.0,0.0,0.0
4913.0,-0.1505500329249051,-0.1731078214178711
4914.0,0.0,0.0
4915.0,0.0,0.0
4916.0,0.0,0.0
4917.0,0.0238355093681319,-0.0663291058431673
4918.0,-0.1781587243645135,-0.081164479847153
4919.0,0.0675610279041939,-0.0529436315179646
4920.0,0.0,0.0
4921.0,0.0675610279041939,-0.0529436315179646
4922.0,0.0675610279041939,-0.0529436315179646
4923.0,0.0675610279041939,-0.0529436315179646
4924.0,0.0675610279041939,-0.0529436315179646
4925.0,0.0,0.0
4926.0,-0.1781587243645135,-0.081164479847153
4927.0,-0.1151765896913728,0.0185146301604651
4928.0,-0.0073540374032583,0.097125047908591
4929.0,0.0,0.0
4930.0,0.0,0.0
4931.0,0.0,0.0
4932.0,-0.1505500329249051,-0.1731078214178711
4933.0,0.0,0.0
4934.0,0.0,0.0
4935.0,0.0,0.0
4936.0,-0.1505500329249051,-0.1731078214178711
4937.0,-0.0435148047322685,-0.0880553060854518
4938.0,0.0,0.0
4939.0,0.0,0.0
4940.0,0.0238355093681319,-0.0663291058431673
4941.0,-0.2286718387726634,-0.1346174848800894
4942.0,0.0,0.0
4943.0,0.0675610279041939,-0.0529436315179646
4944.0,0.0675610279041939,-0.0529436315179646
4945.0,0.0675610279041939,-0.0529436315179646
4946.0,-0.079850231166203,-0.1501430951855668
4947.0,0.0,0.0
4948.0,0.0,0.0
4949.0,0.0,0.0
4950.0,0.0,0.0
4951.0,0.0,0.0
4952.0,0.0,0.0
4953.0,0.0,0.0
4954.0,0.0675610279041939,-0.0529436315179646
4955.0,0.0,0.0
4956.0,0.0,0.0
4957.0,0.0675610279041939,-0.0529436315179646
4958.0,0.0,0.0
4959.0,-0.0048349136061616,-0.2670499482655177
4960.0,0.0901846412354338,0.0215577489957726
4961.0,0.0,0.0
4962.0,0.0,0.0
4963.0,-0.0048349136061616,-0.2670499482655177
4964.0,0.0675610279041939,-0.0529436315179646
4965.0,-0.2413082825439653,0.1947492236398904
4966.0,-0.069049293945352,0.1606480627683923
4967.0,0.0,0.0
4968.0,-0.0456207733646692,0.1567082891532183
4969.0,-0.0456207733646692,0.1567082891532183
